context	tgt_term_gold	tgt_term_hyponym	tgt_term_hypernym	tgt_term_co-hyponym
Der Einheitstext zum Arbeitsschutz  sieht die Bewertung aller am Arbeitsplatz befindlichen Risiken für die Sicherheit und Gesundheit der Arbeitnehmerinnen und Arbeitnehmer vor. Dazu ist auch die Bewertung der psychosozialen Risiken, insbesondere arbeitsbezogener Stress erforderlich.	psychosoziales Risiko		Gefahr,Gefährdung,Risiko	
Die Maschinenrichtlinie stellt insbesondere hohe Anforderungen an die klare Erkennbarkeit und Verfügbarkeit des Not-Halt-Tasters an einer Maschine. Die überarbeitete ISO 13850 gibt neue Gestaltungsmöglichkeiten. Diese Norm definiert nun erstmals, dass auch für Not-Halt-Taster ein dritter Zustand „inaktiv“ definiert ist.	Not-Halt-Taster		Not-Halt-Befehlsgerät,Not-Halt-Gerät	
Alle Körper von Geräten der Schutzklasse I müssen in einen Schutzpotentialausgleich eingebunden sein.	Körper			fremdes leitfähiges Teil
Bei Einatmungsgefahr Atemschutzgerät mit Gasfilter Hg Typ A, Kennfarbe braun benutzen.	Einatmungsgefahr		Gefahr	
In der Nähe des Gerätes und außerhalb der Fahrzeugbox muss eine geeignete Sicherheitsbeschilderung angebracht werden, und zwar über das Rauchverbot und das Verbot offenen Lichts bzw. Feuers, sowie über die Pflicht, den Motor abzustellen, und über das Absperrventil.	Sicherheitsbeschilderung,vertikale Kennzeichnung,vertikale Markierung		Sicherheits- und Gesundheitskennzeichnung,Sicherheits- und Gesundheitskennzeichnung am Arbeitsplatz,Sicherheitskennzeichnung	Bodenkennzeichnung,Bodenmarkierung,horizontale Kennzeichnung,horizontale Markierung
Sicherer Abstand bedeutet mindestens 120 mm bei Einzugsrisiko für Hände bzw. Arme oder mindestens 500 mm wenn ein Einzugsrisiko für den Körper besteht (z. B. bei Trocknerwalzen).	Einzugsrisiko		Gefahr,Gefährdung,Risiko	Quetschgefährdung,Quetschrisiko
Das Entstehen von Kälteschäden hängt einerseits von der Umgebungs- oder Wassertemperatur, der Umgebungsfeuchtigkeit, der Windgeschwindigkeit und der Expositionsdauer ab sowie andererseits von individuellen Faktoren wie der (Schutz)-Kleidung, der körperlichen Belastung, dem Alter und vom Gesundheitszustand der Arbeitnehmenden.	Kälteschaden			Hitzeschaden
Oft lassen sich Hitzeerkrankungen anhand ihrer Symptome erkennen und unterscheiden. Das ist wichtig, um geeignete Hilfsmaßnahmen zu ergreifen und den Betroffenen vor Hitzeschäden zu schützen.	Hitzeerkrankung,Hitzekrankheit	Hitzeerschöpfung,Hitzekollaps,Hitzekrampf,Hitzeschlag,Hitzschlag,Sonnenstich		
Es besteht die Möglichkeit von Sonnenstich, Hitzekrampf und Hitzekollaps.	Hitzekrampf		Hitzeerkrankung	
Beim Hitzekollaps handelt es sich um eine plötzlich auftretende Bewusstlosigkeit. Sie ist in der Regel von kurzer Dauer und kann sowohl bei körperlich aktiven wie auch bei ruhenden Personen auftreten.	Hitzekollaps		Hitzeerkrankung	
Zugangsöffnungen innerhalb der Belagsfläche (Durchstiegsluke) müssen mit Schutzvorrichtungen gegen Absturz versehen sein .	Schutzvorrichtung gegen Absturz	Auffangnetz,Brüstung,Fangnetz,Schutznetz	kollektive Schutzeinrichtung	
Die neue Datenschutz-Grundverordnung ändert und erweitert wesentlich die Inhalte des Informationsblattes, welches von den Artikeln 13 und 14 der DSGVO geregelt wird.	Datenschutzerklärung,Datenschutzinformation,Information,Informationsblatt		Informationsschreiben,Mitteilung	
Eine Anwendungsbewilligung nach Artikel 4 Buchstabe b ist nicht erforderlich für das Ausbringen von Organismen mit einem unbemannten Luftfahrzeug.	Buchstabe		Abs.,Absatz	
Es wird bestätigt, dass diese analoge Ausfertigung, bestehend  aus 2 Seiten, mit dem digitalen Original identisch ist, .	analoge Abschrift,analoge Ausfertigung	analoge Abschrift eines informatischen Dokumentes,analoge Ausfertigung eines digitalen Dokuments		
Die digitale Unterlage ist mit einer sog. Konformitätserklärung zu versehen, in der bestätigt wird, dass die digitale Kopie dem originalen Papierdokument entspricht.	digitale Kopie,informatische Abschrift	digitale Kopie eines Papierdokuments,digitale Kopie eines analogen Dokuments,digitale Kopie eines digitalen Dokuments,informatische Abschrift eines informatischen Dokumentes,informatische Kopie eines analogen Dokuments		
Von den  Planskizzen von Gebäuden die in materielle Anteile unterteilt sind, und die in Papierform Grundbuchsgesuchen beigefügt sind,  wird eine informatische Abschrift durch Scannen der Planskizze erstellt.	digitale Kopie,informatische Abschrift	digitale Kopie eines Papierdokuments,digitale Kopie eines analogen Dokuments,digitale Kopie eines digitalen Dokuments,informatische Abschrift eines informatischen Dokumentes,informatische Kopie eines analogen Dokuments		
Elektronische Kopien von Mitteilungen können mit einem geregelten elektronischen Siegel  der Behörde versehen werden.	elektronische Kopie	elektronische Kopie eines Papierdokuments		
Wenn  das Dokument als digitales Duplikat vorgelegt wird und die digitalen Unterschriften aller ursprünglichen Unterzeichner trägt, dann ist keine Konformitätserklärung erforderlich.	digitales Duplikat,informatisches Duplikat		digitales Dokument,elektronische Urkunde,elektronisches Dokument	
Die Bescheinigung über die erworbenen Kompetenzen bei der Jahresbewertung über die fünfte Klasse der Grundschule und über die dritte Klasse der Mittelschule ersetzt die Bewertung der allgemeinen Lernentwicklung der Schülerinnen und Schüler.	Jahresbewertung		Bewertung der Lernerfolge	periodische Bewertung
Oft ist es gar nicht mehr nötig, an einem bestimmten Ort zu arbeiten und Arbeitgeber betreiben immer öfter das Konzept „Smart Working“.	Smart Working,smartes Arbeiten		Fernarbeit	Homeoffice-Arbeit,Telearbeit
Häusliche Absonderung beinhaltet: - Wohnung/Haushalt nicht verlassen; - Empfang von Besuch ist auf das Notwendigste zu beschränken; - keine Beschränkungen für Mitbewohner.	Absonderung zu Hause,häusliche Absonderung,häusliche Isolation,häusliche Isolierung		Isolation,Isolierung	
Man wurde von seinem zuständigen Gesundheitsamt als SARS-CoV-2 Kontaktperson mit hohem Infektionsrisiko eingestuft. Gegebenenfalls kann das Gesundheitsamt eine Absonderung zu Hause erwägen.	Absonderung zu Hause,häusliche Absonderung,häusliche Isolation,häusliche Isolierung		Isolation,Isolierung	
Die SPID-Identität besteht aus Anmeldeinformationen (Benutzername und Passwort), die für den Benutzer ausgestellt werden und den Zugriff auf alle Online-Dienste ermöglichen.	SPID,SPID-Identität		digitale Identität	
Da der Virus in der Regel durch das Einatmen von Tröpfchen oder über den direkten Kontakt mit Schleimhäuten in den Körper eindringt, sollte auf räumliche Distanz zu anderen Menschen geachtet werden.	räumliche Distanz,soziale Distanz	Abstand		
Pertussis (Keuchhusten) tritt das ganze Jahr über auf, besonders häufig aber im späten Winter und Frühjahr. Die Krankheit zeichnet sich durch eine hohe Letalität (1:1.000) aus, die bei Kindern unter sechs Monaten höher und vorwiegend durch Pneumonien bedingt ist.	Letalität		Mortalität,Sterblichkeit	
Bei einem Covid-19-Verdachtsfall im Krankenhaus und starken Symptomen wird der Patient einer ärztlichen Visite unterzogen mit Blut- und Urintest, Thorax-Röntgen und Nasen-Rachen-Abstrich.	Nasen-Rachen-Abstrich		PCR-Test,molekularer PCR-Test	
Das bevorzugte Untersuchungsmaterial für den Nachweis einer möglichen Infektion mit dem SARS-CoV-2 ist ein Oropharynx- und/oder Nasopharynx-Abstrich, wie bei der Influenza-Diagnostik.	Nasopharyngealabstrich,Nasopharynx-Abstrich,nasopharyngealer Abstrich		PCR-Test	Oropharyngealabstrich,Oropharynx-Abstrich,oropharyngealer Abstrich
Der/die Medizinische RöntgentechnikerIn ist eine Fachkraft des Gesundheitsdienstes, die im Besitz eines berufsbefähigenden Laureatsdiploms und im Berufsalbum eingetragen ist; .	Fachkraft des Gesundheitsdienstes,Sanitätsfachkraft	Pflegehelfer		
Unter starker Kundenauthentifizierung versteht man höhere Sicherheitsvorkehrungen bei der Freigabe von Online-Zahlungen, wie beispielsweise mittels Kreditkarte oder Online Banking.	starke Kundenauthentifizierung		Authentifizierung,Beglaubigung	
Auf vielen digitalen Lernplattformen bzw. -portalen ist es  möglich, sogenannte „digitale Klassenzimmer“ einzurichten. Gedacht sind sie vor allem für den Distanzunterricht, können aber auch unabhängig davon eingesetzt werden.	Distanzunterricht,Fernunterricht,digitaler Unterricht			integrierter Fernunterricht
Schutzkleidung ist in vielen Arbeitsbereichen vorgeschrieben. Die Einsatzmöglichkeiten sind vielfältig. So gehören Einmalkittel in Laboren der chemischen Industrie, in Krankenhäusern oder auch bei der Asbestsanierung zur Standardausrüstung.	Einmalkittel,Einwegkittel		PSA,Schutzausrüstung,persönliche Schutzausrüstung	
Allen Personen, die sich in Tirol aufgehalten haben, wird dringend geraten, sich 14 Tage in häusliche Selbstisolation zu begeben.	Selbstisolation,häusliche Selbstisolation	Isolation auf Vertrauensbasis,häusliche Isolation auf Vertrauensbasis		
Wenn man asymptomatisch ist, wenn keine Vorerkrankungen vorliegen, wenn keine Komplikationen in der Schwangerschaft aufgetreten sind und die 36. Schwangerschaftswoche noch nicht vollendet ist, kann man zu Hause in Selbstisolation bleiben.	Selbstisolation,häusliche Selbstisolation	Isolation auf Vertrauensbasis,häusliche Isolation auf Vertrauensbasis		
Österreichische Staatsbürger und Fremde  sind nach Einreise auf dem Luftweg nach Österreich verpflichtet, unverzüglich eine 14-tägige selbstüberwachte Heimquarantäne anzutreten .	Selbstquarantäne,selbstüberwachte Heimquarantäne		Quarantäne	
Jeder Bundesbürger könnte eine eigene Atemschutzmaske mit austauschbarem Filter, beides chemisch und thermisch (Auskochen) desinfizierbar, besitzen.	Atemschutzmaske mit austauschbarem Filter	Halbmaske mit austauschbarem Filter,Vollmaske mit austauschbarem Filter		
Bei der Risikobewertung  prüft der Arbeitgeber die Arbeitsplätze insbesondere auf  die Risiken für Sehvermögen und Augen;  Probleme mit der Körperhaltung und körperliche oder psychische Belastungen.	psychische Belastung		arbeitsbedingter Stress,arbeitsbezogener Stress	
Die Ergebnisse der Umfragen von Meinungsforschungsinstituten (demoskopische Umfragen) sind nach der ZPO - wenn auch dort nicht besonders erwähnte - zulässige Beweismittel.	demoskopische Umfrage		Befragung,Umfrage	
Anhand des Promemoria kann der Apotheker oder die Apothekerin sowie der Arzt oder die Ärztin die Nummer des elektronischen Rezepts und die Steuernummer des Patienten oder der Patientin feststellen.	Promemoria	Promemoria in Papierform,digitalisiertes Promemoria		
Die Arbeitsunfähigkeitsrente erhält, wer auf Grund von körperlicher oder psychischer Krankheit nicht arbeitsfähig ist und mindestens 5 Versicherungsjahre nachweisen kann . Da die Rente nur bei totaler Arbeitsunfähigkeit zusteht, kann keine lohnabhängige oder selbständige Arbeit ausgeführt werden.	Arbeitsunfähigkeitsrente,Erwerbsunfähigkeitsrente			Invalidengeld,ordentliches Invalidengeld
Für den Fall der Umwandlung einer Berufsunfähigkeits-/teilweisen Erwerbsminderungsrente in eine volle Erwerbsminderungsrente oder in die Altersrente muss die Wartezeit bis zum Beginn der Berufsunfähigkeits-/teilweisen Erwerbsminderungsrente erfüllt sein.	Rente wegen voller Erwerbsminderung,volle Erwerbsminderungsrente			Rente wegen teilweiser Erwerbsminderung,teilweise Erwerbsminderungsrente
Die von S.________ gegen die Personalfürsorgestiftung eingereichte Klage vom 26. Oktober 2011 mit dem Antrag auf Ausrichtung einer Vollinvalidenrente ab 1. Januar 2003 wies das Versicherungsgericht des Kantons St. Gallen mit Entscheid vom 19. September 2012 ab.	Vollinvalidenrente,volle Invalidenrente			Teilinvalidenrente
Am 07. April 2020 hat die Südtiroler Landesregierung ein Abkommen mit Banken und Garantiegenossenschaften genehmigt. Auf der Grundlage dieses Abkommens erhalten Unternehmen, Landwirtschaftliche Betriebe und Freiberufler Zugang zu einem begünstigten Sofortkredit.	begünstigter Sofortkredit		begünstigter Kredit,vergünstigter Kredit	
Zur Umsetzung der  vorgesehenen Maßnahmen wendet das Land folgende Mittel oder Kombinationen dieser Mittel an: a) Kapitalbeiträge, b) Zinsbeiträge, c) zinsbegünstigte Finanzierungen, .	Kapitalbeitrag		Schenkungsbeitrag,Verlustbeitrag,einmaliger Beitrag	Beitrag zur Gewinn- und Verlustrechnung,Betriebsbeitrag,Betriebszuschuss,Zinsbeitrag,Zinszuschuss
Das Land ist, unter Beachtung der Regelung der Europäischen Union für staatliche Beihilfen, befugt, die STA Südtiroler Transportstrukturen AG mit einem jährlichen Betriebsbeitrag und eventuellen Kreditgewährungen finanziell zu unterstützen.	Beitrag zur Gewinn- und Verlustrechnung,Betriebsbeitrag,Betriebszuschuss		Beitrag,Zuschuss,finanzieller Beitrag	Kapitalbeitrag,Zinsbeitrag,Zinszuschuss
Der Arbeitgeber gewährleistet, dass Einfachleitern so verwendet werden, dass die Arbeitnehmer jederzeit sicher stehen und sich sicher festhalten können.	Einfachleiter	Anlegeleiter,Hängeleiter	tragbare Leiter	Doppelleiter,Stehleiter
Die Bewertung der Lernerfolge und des Verhaltens der Schüler und Schülerinnen und die Bescheinigung der erworbenen Kompetenzen erfolgen, aufgrund allgemeiner, von der Landesregierung festgelegter Kriterien, durch den Klassenrat in gemeinsamer Verantwortung.	Bewertung der Lernerfolge	Jahresbewertung,periodische Bewertung	Schülerbewertung	Bewertung des Verhaltens
Für die Schülerinnen und Schüler, die sich nicht am Monitoring- und Testprogramm beteiligen, werden die didaktischen und schulischen Aktivitäten über den integrierten Fernunterricht fortgeführt.	integrierter Fernunterricht			asynchrone Aktivität,synchrone Aktivität
Schülerinnen und Schüler von Abschlussklassen des Berufskollegs können  bei besonderem pädagogischem Bedarf ausnahmsweise unter strikter Berücksichtigung der Hygienevorschriften der Corona-BetrVO im erforderlichen Umfang im Präsenzunterricht beschult werden.	Präsenzunterricht			Distanzunterricht,Homeschooling,digitaler Unterricht
Der Mehrfachimpfstoff dient der gleichzeitigen Immunisierung gegen verschiedene Erreger bzw. deren Toxine.	Kombinationsimpfstoff,Mehrfachimpfstoff		Impfstoff	Einfachimpfstoff,Einzelimpfstoff,monovalenter Impfstoff
Satz 1 gilt auch, wenn zur Erlangung von Impfschutz gegen Masern ausschließlich Kombinationsimpfstoffe zur Verfügung stehen, die auch Impfstoffkomponenten gegen andere Krankheiten enthalten.	Kombinationsimpfstoff,Mehrfachimpfstoff		Impfstoff	Einfachimpfstoff,Einzelimpfstoff,monovalenter Impfstoff
Es fiel die Wahl auf den Einsatz von Tests, die auf Speichelproben basieren, weil diese Speicheltests auch zu Hause durchgeführt werden können und die Anwesenheit von medizinischem Fachpersonal nicht notwendig ist.	Speicheltest			Antigenspeicheltest,molekularer Test mittels Speichelprobe
Die Teilnahme am Projekt ist freiwillig und unterliegt der ausdrücklichen Zustimmung der Eltern/Erziehungsberechtigten der beteiligten Schüler zum Vorab-Screenings und, bei positiven Fällen, einer Bestätigung durch einen molekularen Test oder eines vorhergehenden Antigenspeicheltest.	Antigenspeicheltest		Antigen-Schnelltest,Speicheltest	molekularer Test mittels Speichelprobe
Der Unternehmer hat seine Pflicht zur Bereitstellung der digitalen Leistung erfüllt, sobald  die digitale Dienstleistung dem Verbraucher oder einer vom Verbraucher zu diesem Zweck bestimmten körperlichen oder virtuellen Einrichtung zugänglich gemacht worden ist.	digitale Dienstleistung,digitaler Dienst	Cloud-Computing-Dienst,Cloud-Dienst,Cloud-Service,Internet-Suchmaschine,Online-Marktplatz,Online-Suchmaschine,Suchmaschine		
Zur Gewährleistung der NIS Netz- und Informationssystemsicherheit haben Anbieter digitaler Dienste in Hinblick auf die Netz- und Informationssysteme, die sie für die Bereitstellung des digitalen Dienstes nutzen, geeignete und verhältnismäßige technische und organisatorische Sicherheitsvorkehrungen zu treffen.	Anbieter digitaler Dienste	Cloud-Anbieter,Cloud-Provider		
Bei der Gewährung der Wohnbauförderung des Landes werden hauptsächlich berücksichtigt:  das Bewohnen einer für unbewohnbar erklärten oder überfüllten Wohnung .	überfüllte Wohnung		Wohnrecht,Wohnungsrecht	angemessene Wohnung
Der Handwerksunternehmer ist persönlich im Produktions-, Organisations-, Verwaltungs- oder Verkaufsbereich eines Handwerksunternehmens tätig.	Handwerksunternehmer		Selbstständiger	
Die mit Artikel 90 des Statutes errichtete Autonome Sektion für die Provinz Bozen des Regionalen Verwaltungsgerichtes von Trentino-Südtirol (Verwaltungsgericht Bozen - VwG Bozen) hat ihren Sitz in Bozen. Der Sprengel des Verwaltungsgerichtes Bozen umfaßt die Provinz Bozen.	Regionales Verwaltungsgericht		Verwaltungsgerichtsbarkeit	
Die Gerichtsbarkeit des Rechnungshofs umfasst Verfahren der verwaltungsgerichtlichen Rechnungslegung, Verfahren betreffend die verwaltungsrechtliche Haftung für Schäden zum Nachteil der öffentlichen Hand sowie sonstige Verfahren im Bereich des öffentlichen Rechnungswesens.	Rechnungshof	Berufungssektion,regionale Rechtsprechungssektion,vereinigte Sektion		
Die Wahrnehmung der in dieser Straßenverkehrsordnung vorgesehenen straßenpolizeilichen Aufgaben obliegt a) in erster Linie der Spezialeinheit Straßenpolizei der Staatspolizei, b) der Staatspolizei, c) den Carabinieri, d) dem Finanzwachekorps, .	Carabinieri		Streitkräfte,bewaffnete Macht	
Der Labortechniker/die Labortechnikerin führt aufgrund der Aufträge des/der Vorgesetzten Erhebungen, Analysen und Bestimmungen im chemischen, physikalischen, biologischen oder medizinischen Bereich durch.	Labortechniker			Laborassistent,qualifizierter Labortechniker
Der Präsident des Regionalausschusses wird, sofern das Regionalstatut nichts anderes festlegt, in allgemeiner und direkter Wahl gewählt.	Regionalstatut		Satzung,Statut	
Das Rechnungsprüferkollegium hat das Recht auf Zugang zu Unterlagen und Dokumenten des Landes, um die Ausübung der ihm übertragenen Aufgaben zu gewährleisten.	Recht auf Zugang,Zugangsrecht	Recht auf Zugang zu den Verwaltungsunterlagen,Zugangsrecht zu den Verwaltungsunterlagen		
Der Fahrer ist verpflichtet,  a) den Beschleunigungsstreifen zu verwenden, um auf den Fahrstreifen für den durchgehenden Verkehr einzufahren, und den auf diesem Fahrstreifen verkehrenden Fahrzeugen Vorfahrt zu geben .	Beschleunigungsspur,Beschleunigungsstreifen		gesonderter Fahrstreifen	Verzögerungsspur,Verzögerungsstreifen
Sofern nichts anderes angezeigt wird , muss das Fahrzeug beim Halten und Parken so nah wie möglich am rechten Fahrbahnrand abgestellt werden, und zwar parallel zu diesem und in Fahrtrichtung.	Parken	Notparken		
Anwärter auf den Führerschein der Klasse B müssen an einer Fahrschule mit einem ausgebildeten und dazu berechtigten Praxisfahrlehrer Fahrübungen auf der Autobahn oder auf Freilandstraßen sowie bei Dunkelheit machen.	Freilandstraße	erstrangige Freilandstraße,zweitrangige Freilandstraße	Straße	
Betrifft die Zusatzstrafe der verwaltungsbehördlichen Fahrzeugbeschlagnahme ein Kleinkraftrad oder ein Kraftrad, so verfügt das vorgehende Polizeiorgan das Abschleppen des Fahrzeugs .	verwaltungsbehördliche Fahrzeugbeschlagnahme		vorbeugende Maßnahme	
Mit den Zusatzzeichen und -einrichtungen soll erreicht werden, dass Folgendes ersichtlich gemacht oder angezeigt wird: a) der Straßenverlauf, b) bestimmte gefährliche Kurven oder Stellen, c) Hindernisse auf oder neben der Fahrbahn.	Zusatzzeichen und -einrichtung		Verkehrszeichen	
Der Bibliotheksinspektor/die Bibliotheksinspektorin wirkt mit bei der Planung und Einrichtung von Bibliotheken, sorgt für deren einheitliche Führung, plant und unterstützt Aktionen zur Leseförderung und ist für alle Bereiche von wissenschaftlichem Anspruch zuständig.	Bibliotheksinspektor			Archivar,Archivbeamter,Bibliothekar,Diplom-Bibliothekar
Das gebietsmäßig zuständige Ethikkomitee hat eine begründete positive Stellungnahme zum Forschungsprogramm abgegeben .	Ethikkomitee	Landesethikkomitee		
Die Nutzung durch Dritte umfasst: a) die Vermietung ohne Fahrer, b) die Personenbeförderung im Mietfahrzeug mit Fahrer und im Taxi, c) den Personenlinienverkehr, d) die gewerbliche Güterbeförderung, e) den Güterlinienverkehr, f) die gewerbliche Güterbeförderung im Taxi.	Nutzung durch Dritte		Nutzung des Fahrzeugs	Eigennutzung
Der Schutz und die Aufwertung des kulturellen Erbes sollen das Verständnis für die Geschichte der nationalen Gemeinschaft und für ihre Heimat sowie die Kulturentwicklung fördern.	Aufwertung des kulturellen Erbes		Denkmalschutz	
Das Ministerium und die Regionen bestimmen einvernehmlich die politische Ausrichtung zur Erhaltung und Aufwertung der Landschaft .	Aufwertung der Landschaft		Landschaftsschutz	Erhaltung der Landschaft
Die regionalen Rechtsprechungssektionen und die Rechtsprechungssektionen von Trient und von Bozen treffen ihre Entscheidungen durch drei Mitglieder des Richterstandes einschließlich des Präsidenten.	regionale Rechtsprechungssektion		Rechtssprechungssektion	Berufungssektion,vereinigte Sektion
Organe der Gerichtsbarkeit des Rechnungshofs sind die zentrale Berufungssektion mit Sitz in Rom, deren Zuständigkeit sich auf das Staatsgebiet erstreckt, und die Berufungssektion für die Region Sizilien mit Sitz in Palermo, deren Zuständigkeit sich auf das Regionalgebiet erstreckt.	Berufungssektion		Rechtssprechungssektion	regionale Rechtsprechungssektion,vereinigte Sektion
Die vereinigten Rechtsprechungssektionen entscheiden über Zuständigkeitskonflikte sowie über Grundsatzfragen, die ihnen von den Berufungssektionen oder vom Präsidenten des Rechnungshofs zugeschoben werden, oder auf Antrag des Generalstaatsanwalts.	vereinigte Rechtsprechungssektion		Rechtssprechungssektion,vereinigte Sektion	vereinigte Sektion in besonderer Zusammensetzung,vereinigte Sektion in ihrer Beschlussfunktion,vereinigte Sektion in ihrer Kontrollfunktion,vereinigte Sektion in ihrer beratenden Funktion
Der Ausdruck „Vertragnehmer“ bezeichnet jede natürliche oder juristische Person, Körperschaft oder Vereinigung, die mit einem Anbieter öffentlich zugänglicher elektronischer Kommunikationsdienste einen Vertrag über die Bereitstellung derartiger Dienste geschlossen hat oder jedenfalls Empfänger solcher Dienste durch Wertkarten ist, .	Anbieter des öffentlich zugänglichen elektronischen Kommunikationsdienstes,Anbieter eines öffentlich zugänglichen elektronischen Kommunikationsdienstes,Anbieter öffentlich zugänglicher elektronischer Kommunikationsdienste		Anbieter des Dienstes	
Mit Maßnahme des Generalsekretärs des Rechnungshofs in seiner Rolle als Verantwortlicher des Kostenzentrums werden allgemeine Bestimmungen über die Festsetzung der Vergütungen für die Sachverständigen und Verwahrer festgelegt.	Generalsekretär des Rechnungshofs	Informatikausschuss des Rechnungshofs	Präsident des Rechnungshofs	
Die dem Rechnungshof angehörenden Mitglieder des Richterstandes, die den Kontrollsektionen und -ämtern zugeteilt sind, melden der zuständigen Regionalstaatsanwaltschaft sämtliche im Rahmen der Ausübung ihrer Funktionersichtlichen Tatsachen, aus denen eine Haftung für Schäden zum Nachteil der öffentlichen Hand erwachsen kann.	Regionalstaatsanwaltschaft	Regionalstaatsanwalt		
Die Aufgaben des Staatsanwalts bei den mit der Rechtsprechung befassten Sektionen übt der Regionalstaatsanwalt oder ein anderes dem Amt zugewiesenes Mitglied des Richterstands aus.	Regionalstaatsanwalt		Regionalstaatsanwaltschaft	
Falls es notwendig sein sollte, bestimmte Körperteile vor besonderen Risiken zu schützen, müssen den Arbeitnehmern geeignete Schutzmittel zur Verfügung gestellt werden, wie zum Beispiel angemessene Schutzschirme, Schürzen, Brustschutz, Beinschienen oder Gamaschen.	Brustschutz		PSA,persönliche Schutzausrüstung	
Vor Beginn der Abbrucharbeiten oder der Arbeiten zur Entfernung von Asbest oder asbesthaltigen Materialien aus Gebäuden, Bauten, Geräten und Anlagen sowie Transportmitteln hat der Arbeitgeber einen Arbeitsplan aufzustellen.	Asbestsanierung,Beseitigung von Asbest,Entfernung von Asbest		Bonifizierung,Sanierung	Einhüllung,Einkapselung
Aufgrund der Risikobewertung ist es möglich, die Brandrisiko-Stufe des gesamten Arbeitsbereiches und aller Teile desselben zu klassifizieren: Diese Stufen können niedrig, mittel oder hoch sein.	Brandrisiko-Stufe		Risikoklasse,Risikostufe	
Es dürfen keine nicht elektrischen Arbeiten in der Nähe von Elektroleitungen oder elektrischen Anlagen mit nicht geschützten stromführenden Teilen, bzw. mit Teilen, die wegen besonderer Umstände als nicht genügend geschützt betrachtet werden, durchgeführt werden .	nicht elektrische Arbeit			Elektroarbeit,elektrische Arbeit
Für Hand-Arm-Vibrationen  wird der tägliche Auslösewert, normiert auf einen Bezugszeitraum von 8 Stunden, auf 2,5 m/s² festgesetzt.  Für Ganzkörper-Vibrationen  wird der tägliche Auslösewert, normiert auf einen Bezugszeitraum von 8 Stunden, auf 0,5 m/s² festgesetzt.	täglicher Auslösewert		Expositionswert für mechanische Vibrationen	
Der Betriebsarzt verfasst auf Grund der Ergebnisse der ärztlichen Untersuchungen  eines der folgenden Urteile für die spezifische Aufgabe: a) tauglich; b) teilweise, zeitweilige oder bleibende Tauglichkeit, mit Verordnung oder Einschränkungen; c) zeitweilige Untauglichkeit; d) bleibende Untauglichkeit.	ärztliche Untersuchung	Vorsorgeuntersuchung,regelmäßige ärztliche Untersuchung	Gesundheitsüberwachung	
