context	tgt_term_gold	tgt_term_AT	tgt_term_DE	tgt_term_CH
Erweist sich zur Bezahlung der Schulden der Verkauf von Gütern als notwendig, wird dieser im Einvernehmen zwischen dem Eigentümer und dem Fruchtnießer vorgenommen, vorbehaltlich der Anrufung der Gerichtsbehörde im Fall mangelnden Einvernehmens. Die Zwangsveräußerung hat gegen beide zu erfolgen.	Zwangsveräußerung	Exekution wegen Geldforderungen,Exekution zur Hereinbringung von Geldforderungen,Geldexekution	Zwangsvollstreckung wegen Geldforderungen	Schuldbetreibung
Ebenso werden für das Wohnungsvermögen die Wohnungen berücksichtigt, die im Eigentum von Personengesellschaften oder Gesellschaften mit beschränkter Haftung sind, an denen ein oder mehrere Mitglieder der Familiengemeinschaft beteiligt sind.	Personengesellschaft	Personalgesellschaft		
Die Verschmelzung mehrerer Gesellschaften kann durch Gründung einer neuen Gesellschaft oder durch Aufnahme einer oder mehrerer Gesellschaften in eine andere erfolgen.	Aufnahme,Übernahme			Absorption,Annexion
Die durch dieses Gesetz geregelten Maßnahmen des Landes fördern  die Übernahme von Betrieben seitens der Arbeitergenossenschaften.	Aufnahme,Übernahme			Absorption,Annexion
Bei einer ausländischen Gesellschaft mit steuerlicher Ansässigkeit und unbeschränkter Steuerpflicht in Italien stellt die unterlassene Abgabe der Steuererklärung ein Finanzstrafvergehen dar. Die vorherige, gleichwertige Beschlagnahme des Vermögens des faktischen Verwalters ist zulässig.	faktischer Verwalter	faktischer Geschäftsführer	faktischer Geschäftsführer	faktischer Geschäftsführer
Der UmwandlungsBeschluß muß von einem Bericht über die Schätzung des Gesellschaftsvermögens begleitet sein und ist  in das Handelsregister einzutragen.	Bericht über die Schätzung des Gesellschaftsvermögens,Schätzungsbericht	Vermögensaufstellung	Vermögensaufstellung	
Aus dem Spaltungsplan müssen die Richtlinien für die Übertragung der Aktien oder Anteile der begünstigten Gesellschaften hervorgehen.	Spaltungsplan	Entwurf des Spaltungs- und Übernahmevertrages	Entwurf des Spaltungs- und Übernahmevertrages	
Es besteht Übereinstimmung, dass Rechtshilfe im Einklang mit der Gesetzgebung des ersuchten Staates gewährt wird bei der Ermittlung oder Verfolgung strafbarer Handlungen, namentlich bei Mord,  Missbrauch der Amtsgewalt	Missbrauch der Amtsgewalt,Missbrauch einer Gewaltbefugnis	Missbrauch eines Autoritätsverhältnisses	Missbrauch der Befehlsbefugnis	Missbrauch eines Autoritätsverhältnisses
Der Irrtum über den Tatbestand der strafbaren Handlung schließt die Strafbarkeit des Täters aus.	Täter	unmittelbarer Täter	unmittelbarer Täter	
Eine in diesem Sinn straflose Vortat liegt vor, wenn eine Deliktsverwirklichung einer Haupttat vorangeht, um diese zu ermöglichen oder zu erleichtern; ein gemeinsamer Beweggrund genügt nicht.	straflose Vortat		mitbestrafte Vortat	mitbestrafte Vortat
Der Unterschied zwischen Unterschlagung und Veruntreuung liegt im Deliktsobjekt; es ist bei der Veruntreuung ein anvertrautes, bei der Unterschlagung ein auf andere Weise in die Gewahrsame des Täters gelangtes Gut.	Unterschlagung			unrechtmässige Aneignung
Wer sich an solchen Vereinigungen (zu terroristischen Zwecken) beteiligt, wird mit Gefängnisstrafe von vier bis zu acht Jahren bestraft.	Vereinigung,kriminelle Vereinigung	Bande		
Wer einer aus drei oder mehr Personen bestehenden mafiaartige Vereinigung angehört, wird mit Gefängnisstrafe von drei bis zu sechs Jahren bestraft.	mafiaartige Vereinigung	Mafiaorganisation	Mafiaorganisation,mafiose Vereinigung	
Der Beitrag der Gehilfen zur Ausführung der Tat kann physisch oder psychisch sein, letzteres etwa durch Erteilung von Ratschlägen.	Gehilfe	Beitragstäter		
Durch die Selbstbezichtigung hat V versucht, seinen Sohn wegen dessen Diebstahls der Strafverfolgung zu entziehen. V hat damit rechtswidrig und schuldhaft einen Strafvereitelungsversuch erfüllt .	Selbstbezichtigung,falsche Selbstanschuldigung	falsche Selbstbezichtigung	falsche Selbstbezichtigung	
Als Täter wird bestraft, wer die Straftat selbst oder durch einen anderen begeht. Begehen mehrere die Straftat gemeinschaftlich, so wird jeder als Täter bestraft (Mittäter).	Mittäter	unmittelbarer Mittäter		
Die Wiedereinsetzung in die bürgerlichen Rechte ist auf keinen Fall zu gewähren, wenn der Gemeinschuldner wegen betrügerischen Bankrotts, oder wegen Verbrechen gegen das Vermögen  verurteilt worden ist .	betrügerischer Bankrott	betrügerische Krida		betrügerischer Konkurs
In besonders schweren Fällen des § 283 Abs. 1 bis 3 wird der Bankrott mit Freiheitsstrafe von sechs Monaten bis zu zehn Jahren bestraft.	Bankrott	Kridadelikt		Konkursdelikt
Geschütztes Rechtsgut der Sachbeschädigung (§ 125 öStGB) ist das Eigentum.	geschütztes Rechtsgut		geschütztes Gut	geschütztes Gut
Das Urteil wird innerhalb fünfzehn Tagen ab Erlass in der Kanzlei hinterlegt, .	Gerichtskanzlei,Kanzlei	Geschäftsstelle	Geschäftsstelle	
Der Datenschutzbehörde wird über die Gerichtskanzlei eine Kopie der von der Gerichtsbehörde erlassenen Verfügungen in Zusammenhang mit den Bestimmungen dieses Kodex oder den Bestimmungen über Computerkriminalität übermittelt.	Gerichtskanzlei,Kanzlei	Geschäftsstelle	Geschäftsstelle	
Täter, die im Zeitpunkt des Delikt 18 bis 20 Jahre alt waren, verbunden mit der wegen des jugendlichen Alters fehlenden Einsichtsfähigkeit.	Einsichtsfähigkeit	Diskretionsfähigkeit		Urteilsfähigkeit
Ursächlichkeit besteht auch, wenn die Handlung nur mitursächliche Bedingung für den Erfolgseintritt war; sogenannte kumulative Kausalität .	kumulative Kausalität	alternative Kausalität		alternative Kausalität
Diese Formel versagt aber, wenn die real wirkende Bedingung keine notwendige Bedingung ist, also in den Fällen der hypothetischen und der alternativen Kausalität.	hypothetische Kausalität		abgebrochene Kausalität,überholende Kausalität	
Im Kausalzusammenhang sind vielmehr alle Bedingungen des Erfolges für dessen Eintritt gleich notwendig oder daher gleichwertig . Das gilt auch für menschliche Verhaltensweisen.	Kausalzusammenhang	Ursachenzusammenhang		
Liegt nur ein erschwerender Umstand vor und ist die Erhöhung der Strafe nicht gesetzlich bestimmt, wird die Strafe, die für die strafbare Handlung verhängt werden müßte, bis um ein Drittel erhöht.	erschwerender Umstand	Erschwerungsgründe	Strafschärfungsgrund,straferhöhender Umstand	Strafschärfungsgrund
Die Gleichwertigkeitsklausel dient dazu, eine zu weite Annahme unrechter Unterlassungsdelikte hintanzuhalten.	Gleichwertigkeitsklausel		Entsprechensklausel	
Die Scheinkonkurrenz, die oft schwierige Probleme aufwirft, ist im Gesetz nicht geregelt; sie unteliegt auch nicht den Grundsätzen der §§ 28, 31 (öStGB).	Scheinkonkurrenz	unechte Konkurrenz	Gesetzeseinheit,Gesetzeskonkurrenz	Gesetzeskonkurrenz,unechte Konkurrenz
Bei gleichartiger Tateinheit gibt es insoweit keine Probleme, weil nur ein einziges Gesetz angewendet wird.	gleichartige Idealkonkurrenz,gleichartige Tateinheit	verstärkte Tatbestandmäßigkeit		
Es besteht  zwischen den durch die gleiche Handlung verletzten Strafbestimmungen des StGB und des Zollgesetzes Idealkonkurrenz.	Idealkonkurrenz,Tateinheit	eintätiges Zusammentreffen	rechtliches Zusammentreffen	
Nimmt der Eröffnungsbeschluß Tateinheit an, wird aber nicht wegen aller Taten verurteilt, so erfolgt kein Teilfreispruch; denn wegen einer und derselben Tat kann das Urteil nur einheitlich auf Verurteilung oder Freispruch lauten.	Idealkonkurrenz,Tateinheit	eintätiges Zusammentreffen	rechtliches Zusammentreffen	
Tatmehrheit liegt vor, wenn der Täter durch mehrere selbständige strafbare Handlungen, also durch eine Handlungsmehrheit entweder dasselbe Gesetz mehrmals (gleichartige Tatmehrheit) oder mehrere verschiedene Gesetze (ungleichartige Tatmehrheit) verletzt.	ungleichartige Tatmehrheit	Verbrechenshäufung,ungleichartige Realkonkurrenz		
Tatmehrheit liegt vor, wenn der Täter durch mehrere selbständige strafbare Handlungen, also durch eine Handlungsmehrheit entweder dasselbe Gesetz mehrmals (gleichartige Tatmehrheit) oder mehrere verschiedene Gesetze (ungleichartige Tatmehrheit) verletzt.	gleichartige Tatmehrheit	Verbrechenswiederholung,gleichartige Realkonkurrenz		
Kein Teil der Willensbetätigungen darf zugleich zur Erstellung des Tatbestandes beider Delikte mitwirken; sonst liegt nicht Tatmehrheit vor, sondern Tateinheit; ein derartiges Bindeglied kann auch bei gleichzeitigen Handlungen fehlen; so bei Hausfriedensbruch und Sexualstraftaten, oder Nötigung.	Tatmehrheit	Realkonkurrenz,mehrtätiges Zusammentreffen		Realkonkurrenz
Im Protokoll sind die vom Gericht gestellten Fragen, die von den einander gegenübergestellten Personen abgegebenen Erklärungen und sonstige im Verlauf der Gegenüberstellung eingetretene Geschehnisse zu vermerken.	Gegenüberstellung		Identifizierungsgegenüberstellung,Vernehmungsgegenüberstellung	
Unter den gegebenen Umständen dürfte im übrigen schon sein Stillschweigen und Gewährenlassen als Zustimmung zum Ehebruch im  aufgefasst werden.	Gewährenlassen		Konnivenz	
Antragsdelikte werden auf Anklage des Staatsanwalts verfolgt; aber der StA darf Verfolgungsanträge nur stellen, Polizei und Gendarmerie dürfen sich mit dem Fall nur befassen, wenn der Berechtigte die Verfolgung beantragt hat.	Antragsdelikt	Ermächtigungsdelikt,Privatanklagedelikt		
Die Bestimmungen des Artikels 29 und des Artikels 32  werden bei einer Verurteilung wegen eines fahrlässigen Verbrechens nicht angewendet.	fahrlässiges Verbrechen	Fahrlässigkeitsdelikt	Fahrlässigkeitsdelikt	
Der Täter eines versuchten Verbrechens wird bestraft: mit Gefängnisstrafe nicht unter zwölf Jahren, wenn die angedrohte Strafe lebenslange Gefängnisstrafe ist; in den übrigen Fällen mit der für das Verbrechen angedrohten Strafe, die um ein bis zwei Drittel herabgesetzt wird.	Versuch des Verbrechens,versuchte Straftat,versuchte strafbare Handlung,versuchtes Verbrechen	Versuchsdelikt,versuchtes Delikt	Versuchsdelikt,versuchtes Delikt	versuchtes Delikt
Wer geeignete Handlungen ausführt, die in eindeutiger Weise auf die Begehung eines Verbrechens abzielen, ist für den Versuch des Verbrechens verantwortlich, wenn die Tat nicht zur Ausführung gelangt oder der Erfolg nicht eintritt.	Versuch des Verbrechens,versuchte Straftat,versuchte strafbare Handlung,versuchtes Verbrechen	Versuchsdelikt,versuchtes Delikt	Versuchsdelikt,versuchtes Delikt	versuchtes Delikt
Zur Anwendung der Maßnahmen ist die vom Gesetz für jede vollendete oder versuchte strafbare Handlung festgesetzte Strafe zu berücksichtigen.	Versuch des Verbrechens,versuchte Straftat,versuchte strafbare Handlung,versuchtes Verbrechen	Versuchsdelikt,versuchtes Delikt	Versuchsdelikt,versuchtes Delikt	versuchtes Delikt
Die Erklärung des Verpächters, von der ausdrücklich vereinbarten Auflösungsklausel Gebrauch zu machen, verhindert nicht die Ausübung des Rechts auf Ablösung.	Erklärung	Erklärungsakt		
Ist der Vorsitzende nach Anhörung der Parteien der Ansicht, daß die direkte Vernehmung den Minderjährigen nicht an einer unbefangenen Zeugenaussage hindert, so ordnet er mit Beschluß die Fortsetzung der Aussage nach den in den vorhergehenden Absätzen vorgesehenen Formen an.	direkte Vernehmung		Hauptverhör,direktes Verhör	
Die Entschuldung kann nicht gewährt werden, wenn Konkursgläubiger nicht einmal teilweise befriedigt worden sind.	Konkursgläubiger		Insolvenzgläubiger	
Falschbeurkundung durch eine Amtsperson in Bescheinigungen oder Genehmigungen einer Verwaltungsbehörde.	Falschbeurkundung,mittelbare Falschbeurkundung		intellektuelle Urkundenfälschung	intellektuelle Fälschung
Mittelbare Falschbeurkundung in einer öffentlichen Urkunde durch eine Privatperson.	Falschbeurkundung,mittelbare Falschbeurkundung		intellektuelle Urkundenfälschung	intellektuelle Fälschung
In der Praxis unterscheidet man zwischen einem äußeren (objektiven) und einem inneren (subjektiven) Tatbestand; dieser wird auch öfters die (innere) Tatseite oder (was freilich vielfach abgelehnt wird) Schuldform (Vorsatz oder Fahrlässigkeit) genannt.	objektiver Tatbestand	gesetzliches Tatbild,objektives Merkmal	gesetzlicher Tatbestand,äußerer Tatbestand	objektives Tatbestandsmerkmal
Ein Gebrauchsdiebstahl, dh. die widerrechtliche vorübergehende Benützung einer fremden Sache ist grundsätzlich straflos, nur der unbefugte Gebrauch bestimmter Fahrzeuge ist in § 136 unter Strafe gestellt.	Diebstahl zum kurzfristigen Gebrauch,Gebrauchsdiebstahl	Gebrauchsanmaßung,furtum usus	Gebrauchsanmaßung,furtum usus	
Der Umfang der Garantenpflicht ist nicht unbegrenzt, er bedarf von Fall zu Fall einer besonderen Prüfung in bezug auf Inhalt und Ziel des Schutzzweckes .	Einstandspflicht,Garantenpflicht			Obhutsgarantenpflicht
Wenn ein Rechtsmittel oder Widerspruch erhoben wird, übermittelt das Vollstreckungsgericht, nachdem es über den Antrag des Betroffenen verfügt hat, die Akten an das zuständige erkennende Gericht.	erkennendes Gericht	Erkenntnisgericht	Erkenntnisgericht	
Wenn das Berufungsgericht den Sachverhalt für noch nicht ausreichend festgestellt erachtet und dies nicht auf einer irrigen Rechtsansicht beruht, kann der Oberste Gerichtshof, der nicht Tatsacheninstanz ist, der Verfahrensergänzung nicht entgegentreten.	Tatsacheninstanz		Tatsachengericht	Tatsachengericht
Erkennnt das Berufungsgericht, daß das Gericht erster Instanz  sachlich unzuständig oder örtlich oder wegen Zusammenhanges unzuständig war, so erläßt es  ein Urteil, durch das die Nichtigkeit ausgesprochen wird .	Gericht erster Instanz	Erstgericht,Gericht I. Instanz,Richter erster Instanz,erstinstanzliche Gericht	Gericht I. Instanz,Richter erster Instanz,erstinstanzliche Gericht	Richter erster Instanz,erstinstanzliche Gericht
Wenn der Beitritt vor der Anklageerhebung stattgefunden hat, entscheidet über den Widerspruch der Richter für die Vorerhebungen.	Richter für die Vorerhebungen	Untersuchungsrichter	Ermittlungsrichter	
Durch den Straferlaß oder die Begnadigung wird die verhängte Strafe ganz oder teilweise erlassen oder in eine andere gesetzlich bestimmte Strafe umgewandelt.	Begnadigung	Gnadeakt,Gnadenerweis	Gnade	Gnade
Niemand kann sich zu seiner Entschuldigung auf Unkenntnis des Strafgesetzes berufen.	Unkenntnis des Strafgesetzes		Unwissenheit	
Das Verbrechen ist fahrlässig oder gegen die Absicht, wenn der Erfolg, mag er auch vorausgesehen sein, vom Täter nicht gewollt ist und infolge von Nachlässigkeit, Unvorsichtigkeit, Untüchtigkeit oder auch Nichtbeachtung von Gesetzen, Verordnungen, Befehlen oder Regelungen eintritt.	Unvorsichtigkeit	Unbesonnenheit		
Kandidaten, die eine oder mehrere Teilprüfungen nicht bestanden haben, werden als untauglich befunden und können frühestens dreißig Tage nach der Prüfung nochmals zu den nicht bestandenen Teilprüfungen antreten.	untauglich		ungeeignet	
Eine erweiternde Interpretation des Ausnahmetatbestandes des § 3 Abs. 1a Z. 7 ALSAG käme jedoch nur dann in Betracht, wenn dies der Normzweck (oder eine verfassungskonforme oder europarechtskonforme Auslegung) verlangen würde.	ausdehnende Auslegung,erweiternde Interpretation,extensive Interpretation	ausdehnende Interpretation,erweiternde Auslegung,extensive Auslegung	erweiternde Auslegung,extensive Auslegung	ausdehnende Interpretation,extensive Auslegung
Die Beklagte, die Klagsabweisung beantragte, ist gegenteiliger Ansicht: Bereits die wörtliche Auslegung der Bestimmung ergebe einen Risikoausschluss für alle Ansprüche, deren Ursache in der Beschädigung, Zerstörung oder dem Abhandenkommen von mit dem versicherten Fahrzeug beförderten Sachen liege.	wörtliche Auslegung,wörtliche Interpretation	Wortauslegung,Wortlautinterpretation,grammatikalische Auslegung,grammatikalische Interpretation	Wortauslegung,Wortlautinterpretation,grammatikalische Auslegung,grammatikalische Interpretation	grammatikalische Auslegung,grammatikalische Interpretation
Ob das Rückwirkungsverbot eingreift, entscheidet sich nach dem letzten Zeitpunkt der Tat .	Ausschluss der Rückwirkung,Rückwirkungsverbot	nullum crimen sine lege proevia		
Akzessorisch ist die Anstiftung im Verhältnis zur Haupttat; diese muß wirklich, braucht aber nicht schuldhaft begangen zu sein, damit die Anstiftung strafbar ist .	Anstiftung,Aufforderung	intellektuelle Beihilfe,psychische Beitragstäterschaft	psychische Beihilfe	psychische Gehilfenschaft
Ist auf die Aufforderung nicht eingegangen worden und handelt es sich um die Aufforderung zu einem Verbrechen, so kann der Täter einer Sicherungsmaßnahme unterworfen werden.	Anstiftung,Aufforderung	intellektuelle Beihilfe,psychische Beitragstäterschaft	psychische Beihilfe	psychische Gehilfenschaft
Der Gegenstand des Vertrages muss möglich, erlaubt, bestimmt oder bestimmbar sein.	erlaubt	rechtmäßig,zulässig	rechtmäßig,zulässig	rechtmässig,zulässig
Die gesetzesmäßig einberufene und ordnungsgemäß zusammengetretene Gesellschafterversammlung vertritt die Gesamtheit der Aktionäre.	gesetzesmäßig,gesetzlich,gesetzmäßig			gesetzesmässig,gesetzmässig
